x,u
0.000000e+00,9.884514e-01
1.000000e-02,9.884392e-01
2.000000e-02,9.884281e-01
3.000000e-02,9.884139e-01
4.000000e-02,9.883957e-01
5.000000e-02,9.883734e-01
6.000000e-02,9.883468e-01
7.000000e-02,9.883160e-01
8.000000e-02,9.882810e-01
9.000000e-02,9.882417e-01
1.000000e-01,9.881980e-01
1.100000e-01,9.881501e-01
1.200000e-01,9.880979e-01
1.300000e-01,9.880414e-01
1.400000e-01,9.879806e-01
1.500000e-01,9.879154e-01
1.600000e-01,9.878459e-01
1.700000e-01,9.877720e-01
1.800000e-01,9.876937e-01
1.900000e-01,9.876110e-01
2.000000e-01,9.875240e-01
2.100000e-01,9.874325e-01
2.200000e-01,9.873365e-01
2.300000e-01,9.872361e-01
2.400000e-01,9.871313e-01
2.500000e-01,9.870219e-01
2.600000e-01,9.869081e-01
2.700000e-01,9.867897e-01
2.800000e-01,9.866667e-01
2.900000e-01,9.865392e-01
3.000000e-01,9.864071e-01
3.100000e-01,9.862704e-01
3.200000e-01,9.861290e-01
3.300000e-01,9.859830e-01
3.400000e-01,9.858322e-01
3.500000e-01,9.856768e-01
3.600000e-01,9.855166e-01
3.700000e-01,9.853517e-01
3.800000e-01,9.851820e-01
3.900000e-01,9.850075e-01
4.000000e-01,9.848281e-01
4.100000e-01,9.846438e-01
4.200000e-01,9.844547e-01
4.300000e-01,9.842607e-01
4.400000e-01,9.840616e-01
4.500000e-01,9.838576e-01
4.600000e-01,9.836486e-01
4.700000e-01,9.834346e-01
4.800000e-01,9.832155e-01
4.900000e-01,9.829913e-01
5.000000e-01,9.827620e-01
5.100000e-01,9.825275e-01
5.200000e-01,9.822878e-01
5.300000e-01,9.820430e-01
5.400000e-01,9.817928e-01
5.500000e-01,9.815374e-01
5.600000e-01,9.812767e-01
5.700000e-01,9.810107e-01
5.800000e-01,9.807393e-01
5.900000e-01,9.804625e-01
6.000000e-01,9.801802e-01
6.100000e-01,9.798925e-01
6.200000e-01,9.795993e-01
6.300000e-01,9.793006e-01
6.400000e-01,9.789964e-01
6.500000e-01,9.786866e-01
6.600000e-01,9.783711e-01
6.700000e-01,9.780501e-01
6.800000e-01,9.777233e-01
6.900000e-01,9.773909e-01
7.000000e-01,9.770527e-01
7.100000e-01,9.767088e-01
7.200000e-01,9.763591e-01
7.300000e-01,9.760036e-01
7.400000e-01,9.756423e-01
7.500000e-01,9.752751e-01
7.600000e-01,9.749020e-01
7.700000e-01,9.745230e-01
7.800000e-01,9.741380e-01
7.900000e-01,9.737471e-01
8.000000e-01,9.733502e-01
8.100000e-01,9.729472e-01
8.200000e-01,9.725383e-01
8.300000e-01,9.721232e-01
8.400000e-01,9.717021e-01
8.500000e-01,9.712749e-01
8.600000e-01,9.708415e-01
8.700000e-01,9.704020e-01
8.800000e-01,9.699563e-01
8.900000e-01,9.695044e-01
9.000000e-01,9.690463e-01
9.100000e-01,9.685819e-01
9.200000e-01,9.681113e-01
9.300000e-01,9.676345e-01
9.400000e-01,9.671513e-01
9.500000e-01,9.666619e-01
9.600000e-01,9.661661e-01
9.700000e-01,9.656640e-01
9.800000e-01,9.651556e-01
9.900000e-01,9.646451e-01
