time[s],u[m/s]
0,1.000000e-01,2.000000e+00
1,3.600000e-01,7.000000e+00
2,9.216000e-01,1.800000e+01
3,2.890138e-01,5.000000e+00
4,8.219392e-01,1.600000e+01
5,5.854205e-01,1.100000e+01
6,9.708133e-01,1.900000e+01
7,1.133392e-01,2.000000e+00
8,4.019738e-01,8.000000e+00
9,9.615635e-01,1.900000e+01
10,1.478366e-01,2.000000e+00
11,5.039236e-01,1.000000e+01
12,9.999384e-01,1.900000e+01
13,2.463048e-04,0.000000e+00
14,9.849765e-04,0.000000e+00
15,3.936025e-03,0.000000e+00
16,1.568213e-02,0.000000e+00
17,6.174481e-02,1.000000e+00
18,2.317295e-01,4.000000e+00
19,7.121239e-01,1.400000e+01
20,8.200139e-01,1.600000e+01
21,5.903645e-01,1.100000e+01
22,9.673370e-01,1.900000e+01
23,1.263844e-01,2.000000e+00
24,4.416454e-01,8.000000e+00
25,9.863790e-01,1.900000e+01
26,5.374198e-02,1.000000e+00
27,2.034151e-01,4.000000e+00
28,6.481497e-01,1.200000e+01
29,9.122067e-01,1.800000e+01
30,3.203425e-01,6.000000e+00
31,8.708927e-01,1.700000e+01
32,4.497544e-01,8.000000e+00
33,9.899015e-01,1.900000e+01
34,3.998595e-02,0.000000e+00
35,1.535483e-01,3.000000e+00
36,5.198849e-01,1.000000e+01
37,9.984184e-01,1.900000e+01
38,6.316538e-03,0.000000e+00
39,2.510656e-02,0.000000e+00
40,9.790488e-02,1.000000e+00
41,3.532780e-01,7.000000e+00
42,9.138907e-01,1.800000e+01
43,3.147780e-01,6.000000e+00
44,8.627713e-01,1.700000e+01
45,4.735879e-01,9.000000e+00
46,9.972096e-01,1.900000e+01
47,1.113042e-02,0.000000e+00
48,4.402615e-02,0.000000e+00
49,1.683514e-01,3.000000e+00
50,5.600368e-01,1.100000e+01
51,9.855823e-01,1.900000e+01
52,5.683913e-02,1.000000e+00
53,2.144338e-01,4.000000e+00
54,6.738077e-01,1.300000e+01
55,8.791635e-01,1.700000e+01
56,4.249402e-01,8.000000e+00
57,9.774641e-01,1.900000e+01
58,8.811206e-02,1.000000e+00
59,3.213933e-01,6.000000e+00
60,8.723986e-01,1.700000e+01
61,4.452772e-01,8.000000e+00
62,9.880217e-01,1.900000e+01
63,4.733943e-02,0.000000e+00
64,1.803936e-01,3.000000e+00
65,5.914071e-01,1.100000e+01
66,9.665790e-01,1.900000e+01
67,1.292163e-01,2.000000e+00
68,4.500778e-01,9.000000e+00
69,9.900311e-01,1.900000e+01
70,3.947803e-02,0.000000e+00
71,1.516780e-01,3.000000e+00
72,5.146873e-01,1.000000e+01
73,9.991371e-01,1.900000e+01
74,3.448475e-03,0.000000e+00
75,1.374633e-02,0.000000e+00
76,5.422948e-02,1.000000e+00
77,2.051546e-01,4.000000e+00
78,6.522647e-01,1.300000e+01
79,9.072618e-01,1.800000e+01
80,3.365512e-01,6.000000e+00
81,8.931380e-01,1.700000e+01
82,3.817701e-01,7.000000e+00
83,9.440867e-01,1.800000e+01
84,2.111479e-01,4.000000e+00
85,6.662578e-01,1.300000e+01
86,8.894334e-01,1.700000e+01
87,3.933666e-01,7.000000e+00
88,9.545172e-01,1.900000e+01
89,1.736563e-01,3.000000e+00
90,5.739993e-01,1.100000e+01
91,9.780964e-01,1.900000e+01
92,8.569521e-02,1.000000e+00
93,3.134062e-01,6.000000e+00
94,8.607310e-01,1.700000e+01
95,4.794926e-01,9.000000e+00
96,9.983178e-01,1.900000e+01
97,6.717517e-03,0.000000e+00
98,2.668957e-02,0.000000e+00
99,1.039089e-01,2.000000e+00
100,3.724475e-01,7.000000e+00
101,9.349214e-01,1.800000e+01
102,2.433734e-01,4.000000e+00
103,7.365711e-01,1.400000e+01
104,7.761364e-01,1.500000e+01
105,6.949947e-01,1.300000e+01
106,8.479083e-01,1.600000e+01
107,5.158392e-01,1.000000e+01
108,9.989965e-01,1.900000e+01
109,4.010057e-03,0.000000e+00
110,1.597591e-02,0.000000e+00
111,6.288271e-02,1.000000e+00
112,2.357139e-01,4.000000e+00
113,7.206114e-01,1.400000e+01
114,8.053224e-01,1.600000e+01
115,6.271130e-01,1.200000e+01
116,9.353692e-01,1.800000e+01
117,2.418147e-01,4.000000e+00
118,7.333615e-01,1.400000e+01
119,7.821697e-01,1.500000e+01
120,6.815211e-01,1.300000e+01
121,8.682004e-01,1.700000e+01
122,4.577139e-01,9.000000e+00
123,9.928475e-01,1.900000e+01
124,2.840518e-02,0.000000e+00
125,1.103933e-01,2.000000e+00
126,3.928265e-01,7.000000e+00
127,9.540554e-01,1.900000e+01
128,1.753350e-01,3.000000e+00
129,5.783704e-01,1.100000e+01
130,9.754323e-01,1.900000e+01
131,9.585652e-02,1.000000e+00
132,3.466722e-01,6.000000e+00
133,9.059623e-01,1.800000e+01
134,3.407784e-01,6.000000e+00
135,8.985939e-01,1.700000e+01
136,3.644915e-01,7.000000e+00
137,9.265498e-01,1.800000e+01
138,2.722210e-01,5.000000e+00
139,7.924669e-01,1.500000e+01
140,6.578525e-01,1.300000e+01
141,9.003303e-01,1.800000e+01
142,3.589426e-01,7.000000e+00
143,9.204112e-01,1.800000e+01
144,2.930176e-01,5.000000e+00
145,8.286331e-01,1.600000e+01
146,5.680012e-01,1.100000e+01
147,9.815034e-01,1.900000e+01
148,7.261803e-02,1.000000e+00
149,2.693786e-01,5.000000e+00
150,7.872551e-01,1.500000e+01
151,6.699381e-01,1.300000e+01
152,8.844842e-01,1.700000e+01
153,4.086876e-01,8.000000e+00
154,9.666482e-01,1.900000e+01
155,1.289579e-01,2.000000e+00
156,4.493111e-01,8.000000e+00
157,9.897225e-01,1.900000e+01
158,4.068736e-02,0.000000e+00
159,1.561276e-01,3.000000e+00
160,5.270071e-01,1.000000e+01
161,9.970825e-01,1.900000e+01
162,1.163610e-02,0.000000e+00
163,4.600282e-02,0.000000e+00
164,1.755462e-01,3.000000e+00
165,5.789191e-01,1.100000e+01
166,9.750871e-01,1.900000e+01
167,9.716886e-02,1.000000e+00
168,3.509083e-01,7.000000e+00
169,9.110867e-01,1.800000e+01
170,3.240311e-01,6.000000e+00
171,8.761397e-01,1.700000e+01
172,4.340756e-01,8.000000e+00
173,9.826159e-01,1.900000e+01
174,6.832759e-02,1.000000e+00
175,2.546357e-01,5.000000e+00
176,7.591855e-01,1.500000e+01
177,7.312916e-01,1.400000e+01
178,7.860168e-01,1.500000e+01
179,6.727776e-01,1.300000e+01
180,8.805917e-01,1.700000e+01
181,4.205999e-01,8.000000e+00
182,9.747825e-01,1.900000e+01
183,9.832622e-02,1.000000e+00
184,3.546327e-01,7.000000e+00
185,9.154734e-01,1.800000e+01
186,3.095275e-01,6.000000e+00
