time[s],dr/dt[m/s],radius[m],pressure[atm],volume[m3],surface[m2],n[mol],conc.[mol/m3],dens.[kg/m3],velocity[m/s],kl[m/s],trans.[mol/s],Henry[atm]
0.000000e+00,-1.078317e-05,1.000000e-05,1.140178e+00,4.188790e-15,1.256637e-09,1.986137e-13,4.741552e+01,1.517297e+00,2.170133e-04,3.103340e-04,6.161746e-13,2.917228e-01
4.499491e-03,-8.052274e-06,9.951481e-06,1.140861e+00,4.128115e-15,1.244473e-09,1.958540e-13,4.744394e+01,1.518206e+00,2.149124e-04,3.112982e-04,4.558609e-13,2.682340e-01
8.971153e-03,-8.296509e-06,9.915474e-06,1.141373e+00,4.083467e-15,1.235483e-09,1.938226e-13,4.746521e+01,1.518887e+00,2.133598e-04,3.120211e-04,4.664403e-13,2.701048e-01
1.342212e-02,-8.300941e-06,9.878547e-06,1.141901e+00,4.038014e-15,1.226298e-09,1.917539e-13,4.748719e+01,1.519590e+00,2.117734e-04,3.127692e-04,4.633690e-13,2.699379e-01
1.785182e-02,-8.324856e-06,9.841776e-06,1.142431e+00,3.993089e-15,1.217186e-09,1.897086e-13,4.750923e+01,1.520296e+00,2.101997e-04,3.135208e-04,4.613998e-13,2.699350e-01
2.226030e-02,-8.347374e-06,9.805076e-06,1.142964e+00,3.948585e-15,1.208125e-09,1.876818e-13,4.753141e+01,1.521005e+00,2.086348e-04,3.142779e-04,4.593530e-13,2.699194e-01
2.664757e-02,-8.370179e-06,9.768454e-06,1.143500e+00,3.904506e-15,1.199117e-09,1.856737e-13,4.755369e+01,1.521718e+00,2.070790e-04,3.150402e-04,4.573227e-13,2.699051e-01
3.101364e-02,-8.393135e-06,9.731909e-06,1.144039e+00,3.860848e-15,1.190162e-09,1.836841e-13,4.757610e+01,1.522435e+00,2.055324e-04,3.158078e-04,4.553015e-13,2.698910e-01
3.535850e-02,-8.416256e-06,9.695442e-06,1.144581e+00,3.817609e-15,1.181259e-09,1.817130e-13,4.759863e+01,1.523156e+00,2.039948e-04,3.165809e-04,4.532898e-13,2.698773e-01
3.968217e-02,-8.439540e-06,9.659053e-06,1.145126e+00,3.774785e-15,1.172408e-09,1.797601e-13,4.762129e+01,1.523881e+00,2.024662e-04,3.173593e-04,4.512877e-13,2.698640e-01
4.398466e-02,-8.462991e-06,9.622742e-06,1.145673e+00,3.732374e-15,1.163610e-09,1.778254e-13,4.764406e+01,1.524610e+00,2.009467e-04,3.181431e-04,4.492952e-13,2.698510e-01
4.826598e-02,-8.486608e-06,9.586509e-06,1.146224e+00,3.690372e-15,1.154864e-09,1.759088e-13,4.766696e+01,1.525343e+00,1.994361e-04,3.189325e-04,4.473121e-13,2.698383e-01
5.252612e-02,-8.510394e-06,9.550355e-06,1.146777e+00,3.648776e-15,1.146170e-09,1.740100e-13,4.768998e+01,1.526079e+00,1.979345e-04,3.197273e-04,4.453384e-13,2.698261e-01
5.676511e-02,-8.534349e-06,9.514280e-06,1.147334e+00,3.607583e-15,1.137527e-09,1.721290e-13,4.771312e+01,1.526820e+00,1.964419e-04,3.205277e-04,4.433742e-13,2.698141e-01
6.098296e-02,-8.558475e-06,9.478283e-06,1.147894e+00,3.566791e-15,1.128936e-09,1.702657e-13,4.773639e+01,1.527564e+00,1.949581e-04,3.213338e-04,4.414194e-13,2.698026e-01
