DataNumber,RawWave,Window,Input,Real,Imaginary,Frequency,PowerSpectrum
0,0.791626,-0.000000,-0.000000,-0.029987,0.000000,0.000000,0.000899
1,0.591626,0.000243,0.000144,-0.187109,0.273060,10.786885,0.109572
2,0.091626,0.000974,0.000089,0.460734,0.043665,21.573770,0.214183
3,-0.408374,0.002203,-0.000900,-0.408070,-0.384681,32.360656,0.314501
4,-0.708374,0.003943,-0.002793,0.270483,0.459325,43.147541,0.284141
5,-0.728374,0.006213,-0.004525,-0.155579,-0.438611,53.934426,0.216584
6,-0.408374,0.009037,-0.003690,-0.079313,0.295610,64.721311,0.093676
7,0.091626,0.012444,0.001140,0.272735,-0.223572,75.508197,0.124369
8,0.741626,0.016467,0.012212,-0.233660,0.325548,86.295082,0.160579
9,0.791626,0.021142,0.016736,0.124495,-0.460512,97.081967,0.227571
10,0.491626,0.026508,0.013032,0.012108,0.586261,107.868852,0.343848
11,0.041626,0.032606,0.001357,-0.151996,-0.484626,118.655738,0.257965
12,-0.508374,0.039481,-0.020071,2.500560,-0.496133,129.442623,6.498949
13,-0.708374,0.047175,-0.033418,-12.602071,3.233751,140.229508,169.269345
14,-0.708374,0.055733,-0.039480,19.641787,-4.530013,151.016393,406.320821
15,-0.258374,0.065198,-0.016845,-11.109914,2.257829,161.803279,128.527991
16,0.291626,0.075610,0.022050,1.675604,-0.216655,172.590164,2.854589
17,0.791626,0.087010,0.068879,-0.095974,-0.242697,183.377049,0.068113
18,0.741626,0.099432,0.073742,0.187789,0.232383,194.163934,0.089266
19,0.291626,0.112909,0.032927,-0.200081,-0.069923,204.950820,0.044922
20,-0.208374,0.127467,-0.026561,0.071058,0.026721,215.737705,0.005763
21,-0.608374,0.143127,-0.087075,0.125260,-0.079400,226.524590,0.021994
22,-0.758374,0.159904,-0.121267,-0.186695,0.147600,237.311475,0.056641
23,-0.708374,0.177805,-0.125952,0.041205,-0.193041,248.098361,0.038963
24,-0.108374,0.196831,-0.021331,0.120253,0.188686,258.885246,0.050063
25,0.491626,0.216973,0.106670,-0.107922,-0.130526,269.672131,0.028684
26,0.791626,0.238215,0.188577,0.241615,0.081183,280.459016,0.064968
27,0.591626,0.260532,0.154138,-0.971777,-0.265418,291.245902,1.014797
28,0.191626,0.283889,0.054401,1.370003,0.504406,302.032787,2.131335
