times[s],height[m],height_up[m],height_down[m],velocity[m/s],capillary_force[N],viscous_force[N],gravity_force[N],friction_force[N],Reynolds_Number,Fluid_Number,Weber_Number
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.709472e-01,1.094104e-04,-0.000000e+00,-0.000000e+00,-1.094104e-04,1.845536e+02,7.512920e+00,4.889976e-01
1.000000e-03,3.674537e-04,3.360507e-04,4.093477e-04,3.674537e-01,1.094104e-04,-3.393479e-06,-7.000672e-07,-1.073593e-04,1.828156e+02,7.442166e+00,4.798305e-01
2.000000e-03,7.280652e-04,6.673005e-04,8.077724e-04,3.606114e-01,1.094104e-04,-6.598567e-06,-1.387099e-06,-1.033983e-04,1.794114e+02,7.303587e+00,4.621272e-01
3.000000e-03,1.082045e-03,9.938529e-04,1.195793e-03,3.539800e-01,1.094104e-04,-9.626403e-06,-2.061496e-06,-9.963039e-05,1.761122e+02,7.169279e+00,4.452871e-01
4.000000e-03,1.429597e-03,1.315809e-03,1.573898e-03,3.475517e-01,1.094104e-04,-1.248742e-05,-2.723646e-06,-9.604463e-05,1.729139e+02,7.039083e+00,4.292609e-01
5.000000e-03,1.770916e-03,1.633266e-03,1.942549e-03,3.413188e-01,1.094104e-04,-1.519141e-05,-3.373921e-06,-9.263066e-05,1.698129e+02,6.912847e+00,4.140025e-01
6.000000e-03,2.106190e-03,1.946322e-03,2.302177e-03,3.352742e-01,1.094104e-04,-1.774752e-05,-4.012681e-06,-8.937882e-05,1.668056e+02,6.790424e+00,3.994688e-01
7.000000e-03,2.435601e-03,2.255068e-03,2.653193e-03,3.294109e-01,1.094104e-04,-2.016434e-05,-4.640269e-06,-8.628002e-05,1.638885e+02,6.671672e+00,3.856190e-01
8.000000e-03,2.759323e-03,2.559596e-03,2.995980e-03,3.237222e-01,1.094104e-04,-2.244992e-05,-5.257020e-06,-8.332573e-05,1.610582e+02,6.556455e+00,3.724152e-01
9.000000e-03,3.077525e-03,2.859995e-03,3.330902e-03,3.182015e-01,1.094104e-04,-2.461182e-05,-5.863252e-06,-8.050796e-05,1.583116e+02,6.444644e+00,3.598215e-01
1.000000e-02,3.390367e-03,3.156351e-03,3.658300e-03,3.128428e-01,1.094104e-04,-2.665710e-05,-6.459276e-06,-7.781919e-05,1.556456e+02,6.336113e+00,3.478043e-01
1.100000e-02,3.698008e-03,3.448748e-03,3.978498e-03,3.076401e-01,1.094104e-04,-2.859240e-05,-7.045387e-06,-7.525239e-05,1.530571e+02,6.230741e+00,3.363322e-01
1.200000e-02,4.000595e-03,3.737269e-03,4.291801e-03,3.025877e-01,1.094104e-04,-3.042396e-05,-7.621872e-06,-7.280091e-05,1.505434e+02,6.128412e+00,3.253756e-01
1.300000e-02,4.298275e-03,4.021994e-03,4.598495e-03,2.976800e-01,1.094104e-04,-3.215761e-05,-8.189008e-06,-7.045854e-05,1.481018e+02,6.029015e+00,3.149067e-01
1.400000e-02,4.591187e-03,4.303001e-03,4.898854e-03,2.929118e-01,1.094104e-04,-3.379884e-05,-8.747059e-06,-6.821944e-05,1.457295e+02,5.932444e+00,3.048993e-01
1.500000e-02,4.879465e-03,4.580366e-03,5.193133e-03,2.882781e-01,1.094104e-04,-3.535279e-05,-9.296282e-06,-6.607811e-05,1.434241e+02,5.838595e+00,2.953288e-01
1.600000e-02,5.163239e-03,4.854163e-03,5.481577e-03,2.837739e-01,1.094104e-04,-3.682431e-05,-9.836923e-06,-6.402938e-05,1.411832e+02,5.747371e+00,2.861723e-01
1.700000e-02,5.442634e-03,5.124464e-03,5.764414e-03,2.793947e-01,1.094104e-04,-3.821792e-05,-1.036922e-05,-6.206839e-05,1.390044e+02,5.658676e+00,2.774078e-01
1.800000e-02,5.717770e-03,5.391341e-03,6.041863e-03,2.751358e-01,1.094104e-04,-3.953790e-05,-1.089341e-05,-6.019058e-05,1.368856e+02,5.572420e+00,2.690152e-01
1.900000e-02,5.988763e-03,5.654861e-03,6.314129e-03,2.709931e-01,1.094104e-04,-4.078826e-05,-1.140970e-05,-5.839164e-05,1.348245e+02,5.488515e+00,2.609750e-01
2.000000e-02,6.255725e-03,5.915092e-03,6.581408e-03,2.669623e-01,1.094104e-04,-4.197275e-05,-1.191831e-05,-5.666752e-05,1.328191e+02,5.406879e+00,2.532692e-01
