time[s],height[m],velocity[m/s],capillary_force[N],viscous_force[N],gravity_force[N]
0.000000e+00,0.000000e+00,inf,1.094096e-04,inf,5.036676e-06
1.000000e-03,2.643668e-03,1.279765e+00,1.094096e-04,1.192913e-04,7.066034e-06
2.000000e-03,3.708845e-03,8.943529e-01,1.094096e-04,1.014969e-04,8.602824e-06
3.000000e-03,4.515481e-03,7.230101e-01,1.094096e-04,9.427880e-05,9.884776e-06
4.000000e-03,5.188356e-03,6.207211e-01,1.094096e-04,9.010523e-05,1.100400e-05
5.000000e-03,5.775819e-03,5.508719e-01,1.094096e-04,8.725987e-05,1.200774e-05
6.000000e-03,6.302663e-03,4.993015e-01,1.094096e-04,8.512631e-05,1.292404e-05
7.000000e-03,6.783614e-03,4.592238e-01,1.094096e-04,8.342541e-05,1.377118e-05
8.000000e-03,7.228265e-03,4.269262e-01,1.094096e-04,8.201102e-05,1.456185e-05
9.000000e-03,7.643277e-03,4.001834e-01,1.094096e-04,8.079856e-05,1.530530e-05
1.000000e-02,8.033499e-03,3.775700e-01,1.094096e-04,7.973528e-05,1.600848e-05
1.100000e-02,8.402590e-03,3.581251e-01,1.094096e-04,7.878636e-05,1.667683e-05
1.200000e-02,8.753392e-03,3.411742e-01,1.094096e-04,7.792778e-05,1.731463e-05
1.300000e-02,9.088165e-03,3.262280e-01,1.094096e-04,7.714228e-05,1.792538e-05
1.400000e-02,9.408739e-03,3.129216e-01,1.094096e-04,7.641713e-05,1.851196e-05
1.500000e-02,9.716623e-03,3.009769e-01,1.094096e-04,7.574268e-05,1.907676e-05
1.600000e-02,1.001308e-02,2.901777e-01,1.094096e-04,7.511142e-05,1.962182e-05
1.700000e-02,1.029917e-02,2.803526e-01,1.094096e-04,7.451745e-05,2.014886e-05
1.800000e-02,1.057581e-02,2.713645e-01,1.094096e-04,7.395599e-05,2.065939e-05
1.900000e-02,1.084378e-02,2.631015e-01,1.094096e-04,7.342318e-05,2.115471e-05
2.000000e-02,1.110376e-02,2.554716e-01,1.094096e-04,7.291580e-05,2.163596e-05
2.100000e-02,1.135636e-02,2.483986e-01,1.094096e-04,7.243118e-05,2.210414e-05
2.200000e-02,1.160210e-02,2.418182e-01,1.094096e-04,7.196704e-05,2.256014e-05
2.300000e-02,1.184145e-02,2.356762e-01,1.094096e-04,7.152148e-05,2.300477e-05
2.400000e-02,1.207482e-02,2.299264e-01,1.094096e-04,7.109282e-05,2.343873e-05
2.500000e-02,1.230260e-02,2.245290e-01,1.094096e-04,7.067963e-05,2.386266e-05
2.600000e-02,1.252512e-02,2.194498e-01,1.094096e-04,7.028066e-05,2.427716e-05
2.700000e-02,1.274268e-02,2.146589e-01,1.094096e-04,6.989481e-05,2.468273e-05
2.800000e-02,1.295556e-02,2.101302e-01,1.094096e-04,6.952111e-05,2.507987e-05
2.900000e-02,1.316401e-02,2.058410e-01,1.094096e-04,6.915871e-05,2.546902e-05
3.000000e-02,1.336827e-02,2.017709e-01,1.094096e-04,6.880682e-05,2.585057e-05
3.100000e-02,1.356854e-02,1.979021e-01,1.094096e-04,6.846477e-05,2.622490e-05
3.200000e-02,1.376502e-02,1.942188e-01,1.094096e-04,6.813194e-05,2.659235e-05
3.300000e-02,1.395789e-02,1.907066e-01,1.094096e-04,6.780776e-05,2.695323e-05
3.400000e-02,1.414731e-02,1.873529e-01,1.094096e-04,6.749173e-05,2.730784e-05
3.500000e-02,1.433344e-02,1.841461e-01,1.094096e-04,6.718338e-05,2.765645e-05
3.600000e-02,1.451642e-02,1.810761e-01,1.094096e-04,6.688230e-05,2.799931e-05
3.700000e-02,1.469638e-02,1.781334e-01,1.094096e-04,6.658810e-05,2.833665e-05
3.800000e-02,1.487344e-02,1.753095e-01,1.094096e-04,6.630042e-05,2.866870e-05
3.900000e-02,1.504773e-02,1.725967e-01,1.094096e-04,6.601894e-05,2.899567e-05
4.000000e-02,1.521935e-02,1.699881e-01,1.094096e-04,6.574336e-05,2.931774e-05
4.100000e-02,1.538840e-02,1.674772e-01,1.094096e-04,6.547339e-05,2.963510e-05
4.200000e-02,1.555497e-02,1.650581e-01,1.094096e-04,6.520878e-05,2.994791e-05
4.300000e-02,1.571917e-02,1.627253e-01,1.094096e-04,6.494930e-05,3.025634e-05
4.400000e-02,1.588106e-02,1.604740e-01,1.094096e-04,6.469471e-05,3.056055e-05
4.500000e-02,1.604073e-02,1.582996e-01,1.094096e-04,6.444480e-05,3.086066e-05
4.600000e-02,1.619825e-02,1.561978e-01,1.094096e-04,6.419939e-05,3.115683e-05
4.700000e-02,1.635371e-02,1.541647e-01,1.094096e-04,6.395829e-05,3.144917e-05
4.800000e-02,1.650715e-02,1.521966e-01,1.094096e-04,6.372133e-05,3.173781e-05
4.900000e-02,1.665865e-02,1.502903e-01,1.094096e-04,6.348834e-05,3.202286e-05
5.000000e-02,1.680827e-02,1.484426e-01,1.094096e-04,6.325919e-05,3.230443e-05
5.100000e-02,1.695606e-02,1.466506e-01,1.094096e-04,6.303371e-05,3.258263e-05
5.200000e-02,1.710209e-02,1.449116e-01,1.094096e-04,6.281179e-05,3.285755e-05
5.300000e-02,1.724639e-02,1.432230e-01,1.094096e-04,6.259330e-05,3.312930e-05
5.400000e-02,1.738902e-02,1.415825e-01,1.094096e-04,6.237810e-05,3.339795e-05
5.500000e-02,1.753003e-02,1.399879e-01,1.094096e-04,6.216610e-05,3.366359e-05
5.600000e-02,1.766947e-02,1.384370e-01,1.094096e-04,6.195718e-05,3.392632e-05
5.700000e-02,1.780736e-02,1.369280e-01,1.094096e-04,6.175124e-05,3.418619e-05
5.800000e-02,1.794377e-02,1.354590e-01,1.094096e-04,6.154819e-05,3.444330e-05
5.900000e-02,1.807872e-02,1.340282e-01,1.094096e-04,6.134793e-05,3.469771e-05
6.000000e-02,1.821226e-02,1.326342e-01,1.094096e-04,6.115038e-05,3.494949e-05
6.100000e-02,1.834441e-02,1.312753e-01,1.094096e-04,6.095544e-05,3.519870e-05
6.200000e-02,1.847522e-02,1.299501e-01,1.094096e-04,6.076305e-05,3.544542e-05
6.300000e-02,1.860472e-02,1.286573e-01,1.094096e-04,6.057312e-05,3.568969e-05
