times[s],height[m],height_up[m],height_down[m],velocity[m/s],capillary_force[N],inertia_force[N],viscous_force[N],gravity_force[N],Reynolds_Number
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.555338e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,7.384323e-04,6.781029e-04,8.165131e-04,7.213197e-01,1.109734e-04,-1.035498e-04,-1.338685e-05,-1.406850e-06,2.547984e-02
2.000000e-03,1.443057e-03,1.333170e-03,1.578215e-03,6.884060e-01,1.109734e-04,-8.957541e-05,-2.496709e-05,-2.749290e-06,2.431720e-02
3.000000e-03,2.116004e-03,1.966244e-03,2.290367e-03,6.578253e-01,1.109734e-04,-7.748118e-05,-3.498380e-05,-4.031379e-06,2.323697e-02
4.000000e-03,2.759355e-03,2.578400e-03,2.957779e-03,6.291809e-01,1.109734e-04,-6.690938e-05,-4.363380e-05,-5.257081e-06,2.222514e-02
5.000000e-03,3.374961e-03,3.170572e-03,3.584674e-03,6.023135e-01,1.109734e-04,-5.767096e-05,-5.108946e-05,-6.429924e-06,2.127608e-02
6.000000e-03,3.964535e-03,3.743635e-03,4.174829e-03,5.770979e-01,1.109734e-04,-4.960092e-05,-5.750183e-05,-7.553171e-06,2.038536e-02
7.000000e-03,4.529672e-03,4.298419e-03,4.731630e-03,5.534219e-01,1.109734e-04,-4.255461e-05,-6.300326e-05,-8.629862e-06,1.954903e-02
8.000000e-03,5.071860e-03,4.835713e-03,5.258114e-03,5.311824e-01,1.109734e-04,-3.640513e-05,-6.770969e-05,-9.662828e-06,1.876345e-02
9.000000e-03,5.592485e-03,5.356272e-03,5.757007e-03,5.102837e-01,1.109734e-04,-3.104113e-05,-7.172266e-05,-1.065472e-05,1.802522e-02
1.000000e-02,6.092845e-03,5.860811e-03,6.230756e-03,4.906364e-01,1.109734e-04,-2.636497e-05,-7.513110e-05,-1.160799e-05,1.733120e-02
1.100000e-02,6.574148e-03,6.350017e-03,6.681559e-03,4.721575e-01,1.109734e-04,-2.229100e-05,-7.801287e-05,-1.252497e-05,1.667845e-02
1.200000e-02,7.037524e-03,6.824541e-03,7.111393e-03,4.547693e-01,1.109734e-04,-1.874410e-05,-8.043609e-05,-1.340778e-05,1.606424e-02
1.300000e-02,7.484027e-03,7.285005e-03,7.522032e-03,4.383997e-01,1.109734e-04,-1.565840e-05,-8.246040e-05,-1.425845e-05,1.548599e-02
