times[s],height[m],height_up[m],height_down[m],velocity[m/s],capillary_force[N],viscous_force[N],gravity_force[N],Reynolds_Number,Fluid_Number,Weber_Number
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,4.019582e-03,4.184965e-03,3.839906e-03,2.009791e+00,2.230531e-04,-2.030353e-04,-3.093833e-05,1.426952e-01,2.871130e+01,2.844549e+01
2.000000e-03,5.562583e-03,5.771584e-03,5.331197e-03,1.328995e+00,2.230531e-04,-1.857975e-04,-4.281466e-05,9.435868e-02,1.898565e+01,1.243823e+01
3.000000e-03,6.702425e-03,6.936127e-03,6.439431e-03,1.042918e+00,2.230531e-04,-1.756799e-04,-5.158790e-05,7.404719e-02,1.489883e+01,7.659706e+00
4.000000e-03,7.633731e-03,7.882466e-03,7.349453e-03,8.744975e-01,2.230531e-04,-1.677781e-04,-5.875608e-05,6.208932e-02,1.249282e+01,5.385534e+00
5.000000e-03,8.431971e-03,8.689660e-03,8.132930e-03,7.604558e-01,2.230531e-04,-1.611547e-04,-6.490005e-05,5.399236e-02,1.086365e+01,4.072486e+00
6.000000e-03,9.135856e-03,9.398258e-03,8.826627e-03,6.767688e-01,2.230531e-04,-1.553923e-04,-7.031779e-05,4.805058e-02,9.668126e+00,3.225465e+00
7.000000e-03,9.768379e-03,1.003235e-02,9.452382e-03,6.120449e-01,2.230531e-04,-1.502608e-04,-7.518626e-05,4.345519e-02,8.743498e+00,2.638021e+00
8.000000e-03,1.034452e-02,1.060761e-02,1.002442e-02,5.600959e-01,2.230531e-04,-1.456172e-04,-7.962075e-05,3.976681e-02,8.001370e+00,2.209207e+00
9.000000e-03,1.087468e-02,1.113493e-02,1.055263e-02,5.172333e-01,2.230531e-04,-1.413652e-04,-8.370131e-05,3.672357e-02,7.389047e+00,1.884016e+00
1.000000e-02,1.136642e-02,1.162224e-02,1.104420e-02,4.811043e-01,2.230531e-04,-1.374367e-04,-8.748620e-05,3.415841e-02,6.872919e+00,1.630010e+00
1.100000e-02,1.182545e-02,1.207551e-02,1.150455e-02,4.501283e-01,2.230531e-04,-1.337809e-04,-9.101936e-05,3.195911e-02,6.430404e+00,1.426870e+00
1.200000e-02,1.225622e-02,1.249939e-02,1.193790e-02,4.231989e-01,2.230531e-04,-1.303590e-04,-9.433495e-05,3.004712e-02,6.045699e+00,1.261249e+00
1.300000e-02,1.266225e-02,1.289756e-02,1.234760e-02,3.995157e-01,2.230531e-04,-1.271407e-04,-9.746009e-05,2.836561e-02,5.707366e+00,1.124033e+00
1.400000e-02,1.304639e-02,1.327302e-02,1.273636e-02,3.784832e-01,2.230531e-04,-1.241014e-04,-1.004168e-04,2.687231e-02,5.406903e+00,1.008800e+00
