times[s],height[m],height_up[m],height_down[m],velocity[m/s],theta[rad],capillary_force[N],viscous_force[N],gravity_force[N],Reynolds_Number
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.553343e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-03,3.461255e-04,3.635923e-04,3.213664e-04,1.730627e-01,1.553343e+00,1.946407e-06,-1.505487e-06,-6.660235e-07,6.143727e-03
2.000000e-03,4.606903e-04,4.739908e-04,4.355471e-04,1.003198e-01,1.553343e+00,1.946407e-06,-1.161544e-06,-8.864721e-07,3.561353e-03
3.000000e-03,5.387909e-04,5.455822e-04,5.165100e-04,7.244006e-02,1.553343e+00,1.946407e-06,-9.809320e-07,-1.036755e-06,2.571622e-03
4.000000e-03,5.982867e-04,5.976728e-04,5.803792e-04,5.653751e-02,1.553343e+00,1.946407e-06,-8.501311e-07,-1.151238e-06,2.007082e-03
5.000000e-03,6.460976e-04,6.377294e-04,6.334066e-04,4.604191e-02,1.553343e+00,1.946407e-06,-7.476378e-07,-1.243237e-06,1.634488e-03
6.000000e-03,6.857647e-04,6.695604e-04,6.787965e-04,3.851986e-02,1.553343e+00,1.946407e-06,-6.638955e-07,-1.319566e-06,1.367455e-03
7.000000e-03,7.193847e-04,6.954109e-04,7.184502e-04,3.283439e-02,1.553343e+00,1.946407e-06,-5.936493e-07,-1.384258e-06,1.165621e-03
8.000000e-03,7.483184e-04,7.167307e-04,7.536042e-04,2.837431e-02,1.553343e+00,1.946407e-06,-5.336440e-07,-1.439933e-06,1.007288e-03
9.000000e-03,7.735068e-04,7.345157e-04,7.851160e-04,2.477832e-02,1.553343e+00,1.946407e-06,-4.816992e-07,-1.488401e-06,8.796305e-04
1.000000e-02,7.956319e-04,7.494826e-04,8.136087e-04,2.181751e-02,1.553343e+00,1.946407e-06,-4.362720e-07,-1.530975e-06,7.745217e-04
1.100000e-02,8.152059e-04,7.621649e-04,8.395518e-04,1.933900e-02,1.553343e+00,1.946407e-06,-3.962243e-07,-1.568640e-06,6.865344e-04
1.200000e-02,8.326244e-04,7.729705e-04,8.633091e-04,1.723631e-02,1.553343e+00,1.946407e-06,-3.606894e-07,-1.602157e-06,6.118891e-04
1.300000e-02,8.482002e-04,7.822185e-04,8.851693e-04,1.543279e-02,1.553343e+00,1.946407e-06,-3.289900e-07,-1.632129e-06,5.478640e-04
1.400000e-02,8.621853e-04,7.901626e-04,9.053661e-04,1.387163e-02,1.553343e+00,1.946407e-06,-3.005855e-07,-1.659039e-06,4.924429e-04
1.500000e-02,8.747858e-04,7.970075e-04,9.240915e-04,1.250978e-02,1.553343e+00,1.946407e-06,-2.750372e-07,-1.683285e-06,4.440973e-04
1.600000e-02,8.861729e-04,8.029205e-04,9.415057e-04,1.131393e-02,1.553343e+00,1.946407e-06,-2.519834e-07,-1.705197e-06,4.016447e-04
1.700000e-02,8.964902e-04,8.080394e-04,9.577435e-04,1.025787e-02,1.553343e+00,1.946407e-06,-2.311226e-07,-1.725049e-06,3.641542e-04
1.800000e-02,9.058592e-04,8.124790e-04,9.729204e-04,9.320627e-03,1.553343e+00,1.946407e-06,-2.122002e-07,-1.743077e-06,3.308822e-04
1.900000e-02,9.143842e-04,8.163354e-04,9.871352e-04,8.485256e-03,1.553343e+00,1.946407e-06,-1.949995e-07,-1.759481e-06,3.012266e-04
2.000000e-02,9.221548e-04,8.196898e-04,1.000474e-03,7.737856e-03,1.553343e+00,1.946407e-06,-1.793347e-07,-1.774434e-06,2.746939e-04
2.100000e-02,9.292488e-04,8.226108e-04,1.013012e-03,7.066922e-03,1.553343e+00,1.946407e-06,-1.650449e-07,-1.788084e-06,2.508757e-04
2.200000e-02,9.357341e-04,8.251569e-04,1.024815e-03,6.462842e-03,1.553343e+00,1.946407e-06,-1.519903e-07,-1.800563e-06,2.294309e-04
2.300000e-02,9.416704e-04,8.273781e-04,1.035942e-03,5.917514e-03,1.553343e+00,1.946407e-06,-1.400484e-07,-1.811986e-06,2.100717e-04
2.400000e-02,9.471100e-04,8.293173e-04,1.046445e-03,5.424058e-03,1.553343e+00,1.946407e-06,-1.291114e-07,-1.822453e-06,1.925540e-04
2.500000e-02,9.520997e-04,8.310114e-04,1.056369e-03,4.976592e-03,1.553343e+00,1.946407e-06,-1.190842e-07,-1.832055e-06,1.766690e-04
2.600000e-02,9.566807e-04,8.324921e-04,1.065758e-03,4.570055e-03,1.553343e+00,1.946407e-06,-1.098824e-07,-1.840869e-06,1.622369e-04
2.700000e-02,9.608900e-04,8.337871e-04,1.074648e-03,4.200067e-03,1.553343e+00,1.946407e-06,-1.014308e-07,-1.848969e-06,1.491024e-04
2.800000e-02,9.647606e-04,8.349199e-04,1.083073e-03,3.862819e-03,1.553343e+00,1.946407e-06,-9.366207e-08,-1.856417e-06,1.371301e-04
2.900000e-02,9.683221e-04,8.359114e-04,1.091065e-03,3.554979e-03,1.553343e+00,1.946407e-06,-8.651606e-08,-1.863270e-06,1.262018e-04
3.000000e-02,9.716013e-04,8.367794e-04,1.098652e-03,3.273624e-03,1.553343e+00,1.946407e-06,-7.993863e-08,-1.869580e-06,1.162136e-04
3.100000e-02,9.746221e-04,8.375395e-04,1.105859e-03,3.016175e-03,1.553343e+00,1.946407e-06,-7.388099e-08,-1.875393e-06,1.070742e-04
3.200000e-02,9.774065e-04,8.382053e-04,1.112710e-03,2.780353e-03,1.553343e+00,1.946407e-06,-6.829910e-08,-1.880750e-06,9.870252e-05
